ano;mes;dia;unidade;setor;ea_nsp;ea_notivisa;pacientes_pulseira_padronizada;ea_queda;ea_flebite;pacientes_avaliados_identificacao
2025;10;1;HRRO;Clinica Medica;41;0;76;1;0;117
2025;10;2;HRRO;Clinica Medica;44;0;64;0;0;108
2025;10;3;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;4;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;5;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;6;HRRO;Clinica Medica;43;0;74;0;0;117
2025;10;7;HRRO;Clinica Medica;36;0;82;0;0;118
2025;10;8;HRRO;Clinica Medica;1;0;113;0;0;114
2025;10;9;HRRO;Clinica Medica;0;0;118;0;0;118
2025;10;10;HRRO;Clinica Medica;2;0;104;0;0;106
2025;10;11;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;12;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;13;HRRO;Clinica Medica;2;0;105;0;0;107
2025;10;14;HRRO;Clinica Medica;0;0;108;0;0;108
2025;10;15;HRRO;Clinica Medica;0;0;103;0;0;103
2025;10;16;HRRO;Clinica Medica;0;0;108;0;0;108
2025;10;17;HRRO;Clinica Medica;0;0;111;1;0;111
2025;10;18;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;19;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;20;HRRO;Clinica Medica;13;0;109;0;0;122
2025;10;21;HRRO;Clinica Medica;6;0;109;0;0;115
2025;10;22;HRRO;Clinica Medica;5;0;102;0;0;107
2025;10;23;HRRO;Clinica Medica;7;0;106;0;0;113
2025;10;24;HRRO;Clinica Medica;15;0;97;0;0;112
2025;10;25;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;26;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;27;HRRO;Clinica Medica;0;0;0;0;0;0
2025;10;28;HRRO;Clinica Medica;34;0;80;0;0;114
2025;10;29;HRRO;Clinica Medica;15;0;101;0;0;116
2025;10;30;HRRO;Clinica Medica;11;0;106;0;0;117
2025;10;31;HRRO;Clinica Medica;20;0;92;0;1;112
